feature,bucket,regime,side,horizon,label,sample_count,cluster_count,raw_expectancy_bps,expectancy_after_5_bps,expectancy_after_7_5_bps,expectancy_after_10_bps,pf_after_5_bps,pf_after_7_5_bps,pf_after_10_bps,win_rate_after_5_bps,win_rate_after_7_5_bps,win_rate_after_10_bps,gross_profit_after_5_bps,gross_loss_after_5_bps,gross_profit_after_7_5_bps,gross_loss_after_7_5_bps,gross_profit_after_10_bps,gross_loss_after_10_bps,win_count_after_5_bps,loss_count_after_5_bps,win_count_after_7_5_bps,loss_count_after_7_5_bps,win_count_after_10_bps,loss_count_after_10_bps,win_rate,profit_factor,average_forward_return,median_forward_return,worst_month_expectancy,worst_symbol_expectancy,leave_one_symbol_out_passed,leave_one_month_out_passed,leave_one_quarter_out_passed,top_symbol_contribution_pct,top_month_contribution_pct,top_quarter_contribution_pct
CloseRelativeEMA20,below_ema20,compressed_up,short,240m,DISCOVERY_REJECTED,5531,5079,-3.052045,-8.052045,-10.552045,-13.052045,0.900284,0.871372,0.843385,48.888085,48.219129,47.586332,402089.290230,446625.149875,395375.060701,453738.420346,388754.503044,460945.362689,2704,2827,2667,2864,2632,2899,48.888085,0.900284,-3.052045,0.000000,-71.659609,-17.767129,false,false,false,100.000000,30.717857,87.777741
TakerBuyRatio,taker_sell_heavy,compressed_down,short,240m,DISCOVERY_REJECTED,7551,7017,-3.077266,-8.077266,-10.577266,-13.077266,0.896758,0.867048,0.838343,47.397696,46.828235,46.073368,529768.600656,590760.037696,520866.813034,600735.750073,512091.714449,610838.151489,3579,3972,3536,4015,3479,4072,47.397696,0.896758,-3.077266,-3.900000,-81.700058,-26.462974,false,false,false,100.000000,46.741267,100.000000
BTCContext60,btc_down_strong,trend_up,short,30m,DISCOVERY_REJECTED,928,814,-3.105908,-8.105908,-10.605908,-13.105908,0.815616,0.766017,0.719482,46.228448,45.043103,43.534483,33274.479826,40796.762547,32221.730808,42064.013529,31194.224251,43356.506971,429,499,418,510,404,524,46.228448,0.815616,-3.105908,-0.400000,-95.926572,-26.396501,false,false,false,70.303229,29.259942,41.135603
Return15,return15_flat,compressed_down,long,240m,DISCOVERY_REJECTED,15786,13763,-3.107423,-8.107423,-10.607423,-13.107423,0.866657,0.829255,0.793498,47.643482,46.503231,45.578361,831824.308740,959808.081361,813247.867460,980696.640082,795081.366503,1001995.139124,7521,8265,7341,8445,7195,8591,47.643482,0.866657,-3.107423,-0.500000,-36.771927,-12.462605,false,false,false,0.000000,33.371786,65.970689
SessionUTC,europe,compressed_down,long,240m,DISCOVERY_REJECTED,7860,6073,-3.129713,-8.129713,-10.629713,-13.129713,0.887798,0.856005,0.825414,45.928753,45.012723,44.325700,505604.933668,569504.474809,496675.180936,580224.722077,487910.695930,591110.237071,3610,4250,3538,4322,3484,4376,45.928753,0.887798,-3.129713,-6.750000,-81.961450,-27.868879,false,false,false,100.000000,18.069021,61.116190
RealizedVol60,realized_vol_60_mid,compressed_up,short,30m,DISCOVERY_REJECTED,9772,6723,-3.160615,-8.160615,-10.660615,-13.160615,0.802458,0.749953,0.700834,47.789603,46.397871,45.180106,323944.414709,403689.943259,312447.896824,416623.425373,301274.877076,429880.405626,4670,5102,4534,5238,4415,5357,47.789603,0.802458,-3.160615,0.400000,-28.804608,-14.822488,false,false,false,0.000000,40.178557,0.000000
TakerBuyRatio,taker_buy_heavy,compressed_down,short,120m,DISCOVERY_REJECTED,7157,6698,-3.163033,-8.163033,-10.663033,-13.163033,0.854524,0.814419,0.776245,46.751432,45.717479,44.641610,343174.754175,401597.583760,334909.315619,411224.645204,326823.453260,421031.282845,3346,3811,3272,3885,3195,3962,46.751432,0.854524,-3.163033,-2.100000,-56.219889,-14.402661,false,false,false,0.000000,39.277390,83.013356
TakerBuyRatio,taker_balanced,trend_up,short,240m,DISCOVERY_REJECTED,15926,13764,-3.176000,-8.176000,-10.676000,-13.176000,0.879604,0.845696,0.813073,49.277910,48.392566,47.620244,951311.067298,1081522.048246,931863.879094,1101889.860042,912744.400354,1122585.381302,7848,8078,7707,8219,7584,8342,49.277910,0.879604,-3.176000,2.800000,-41.570866,-14.081929,false,false,false,100.000000,31.560826,100.000000
ETHContext60,eth_down_strong,trend_up,long,120m,DISCOVERY_REJECTED,1665,1438,-3.188352,-8.188352,-10.688352,-13.188352,0.881443,0.848214,0.816285,46.366366,45.645646,44.684685,101362.171709,114995.778604,99448.907260,117245.014155,97566.720204,119525.327099,772,893,760,905,744,921,46.366366,0.881443,-3.188352,-5.600000,-74.332851,-26.806682,false,false,false,0.000000,21.763860,72.602708
SessionUTC,europe,compressed_up,long,240m,DISCOVERY_REJECTED,10335,7460,-3.257628,-8.257628,-10.757628,-13.257628,0.879190,0.845712,0.813583,45.524915,44.683116,43.812288,621078.915022,706421.497761,609420.819416,720600.902155,597988.468878,735006.051617,4705,5630,4618,5717,4528,5807,45.524915,0.879190,-3.257628,-7.500000,-47.618019,-14.004082,false,false,false,100.000000,25.234944,73.724532
